substance,interval_start,interval_end,ongoing,provenance,confidence,national_context,source_urls,source_verification,notes,no_emergence
para-Fluorofentanyl,2021Q1,,True,raw-count-rule,high,Real NFLIS-Drug California counts confirm near-zero lag: CA-statewide onset 2020H2 vs. LA ME-death onset 2021Q1. See docs/findings/ground_truth.md.,data/raw/ground_truth/nflis_ca_counts.csv (real forensic-lab count data) ; see data/raw/ground_truth/health_notices.csv for alert-level detail,see health_notices.csv per-row verification status,"First LA death 2021Q1 after zero every prior quarter back to 2012. Sustained >=1/quarter every quarter since -- never two consecutive quarters both <=1 -- so the stated rule keeps the interval open even though the count has visibly declined since 2025Q1 (5,3,1,3). See RESEARCH_LOG.md's EB95 0.37 finding for the same decline read as a shrinkage estimate instead of a raw count.",False
Bromazolam,2023Q3,2025Q1,False,raw-count-rule,high,"STRONGEST EVIDENCE: real NFLIS-Drug California forensic-lab counts show bromazolam's CA-statewide onset at 2021H2 -- a ~2-year lag before LA's own ME-death onset (2023Q3), roughly double the ~2-3-quarter estimate this cell used to carry (which came from a secondhand 'late 2022' national citation, now superseded by real state-level count data a full year earlier). See docs/findings/ground_truth.md for the full comparison.",data/raw/ground_truth/nflis_ca_counts.csv (real forensic-lab count data) ; see data/raw/ground_truth/health_notices.csv for alert-level detail,see health_notices.csv per-row verification status,"Rule: first run of >=2 consecutive quarters each >=2, preceded by >=2 consecutive quarters each <=1. Isolated singleton hits in 2021Q2 (n=1) and 2022Q3 (n=1) don't qualify as onset. Interval closes after 2025Q2-Q3 (0, 1) both <=1; the single 2025Q4 count of 2 is a lone point, not a new qualifying run.",False
Mitragynine,2022Q2,,True,raw-count-rule,medium,"Real NFLIS-Drug California counts show no coherent statewide trend either (a single 2015H1 spike collapses right back down) -- confirms this substance doesn't fit the 'emergence' comparison framework, now against real data rather than just an absence of a marker.",data/raw/ground_truth/nflis_ca_counts.csv (real forensic-lab count data) ; see data/raw/ground_truth/health_notices.csv for alert-level detail,not researched,"Kratom is a legal/quasi-legal supplement, not a scheduled controlled substance -- this reads as a gradual rise in recorded use rather than a discrete outbreak, a different shape from the other four rows here. Treat 'emergence' loosely for this one. Rule applied mechanically gives onset 2022Q2 (4, 5 after two quarters of 0); never two consecutive quarters <=1 afterward, so open-ended through 2025Q4.",False
Carfentanil,2024Q1,,True,manual,medium,"Real NFLIS-Drug California counts confirm near-zero lag: CA-statewide onset 2024H1 vs. LA ME-death onset 2024Q1, essentially the same half-year. See docs/findings/ground_truth.md.",data/raw/ground_truth/nflis_ca_counts.csv (real forensic-lab count data) ; see data/raw/ground_truth/health_notices.csv for alert-level detail,see health_notices.csv per-row verification status,"The raw-count rule fails on this series: it alternates around the >=2 threshold at low n (3,1,8,0,5,3,1,1 across 2024Q1-2025Q4) and never posts two consecutive qualifying quarters. Onset set manually at the first nonzero quarter after a run of all-zero quarters back to 2012; called ongoing because it has not had two consecutive absent quarters since.",False
Xylazine,2023Q3,2025Q1,False,manual,medium,"STRONGEST EVIDENCE: real NFLIS-Drug California forensic-lab counts (data/raw/ground_truth/nflis_ca_counts.csv) show xylazine substantial statewide (n=24-61 per half-year) by 2019-2020 -- a ~4.5-year lag before LA's own ME-death onset (2023Q3), roughly triple the ~2-quarter estimate this cell used to carry. That earlier estimate wasn't wrong, it was answering a narrower question: LA's own drug-checking data shows xylazine was still undetectable in LA's fentanyl supply as of 2023Q1, so the ~2-quarter figure is the lag from 'present in LA's supply' to 'showing up in LA deaths' -- a real, but much shorter, second stage of a longer statewide-to-local diffusion. LA County DPH's own 2023-03-08 alert cited zero LA-specific detection data (see health_notices.csv) -- consistent with this. See docs/findings/ground_truth.md for the full comparison.",data/raw/ground_truth/nflis_ca_counts.csv (real forensic-lab count data) ; see data/raw/ground_truth/health_notices.csv for alert-level detail,"the LA County alert row was direct-fetch verified (full text read); see health_notices.csv for the rest, which are weaker","Same rule failure as carfentanil, more severe: max quarterly count is 3, so the series never posts two consecutive quarters >=2 at all. Onset/end set manually at the first and last nonzero quarters before three consecutive zero quarters (2025Q2-Q4). Confidence raised from low to medium given the independent drug-checking corroboration above -- 0% at 2023Q1 in the actual supply is consistent with ME deaths only starting 2023Q3. Still thin: lifetime n=9, a couple of differently-timed deaths would visibly move this interval.",False
Fentanyl,2016Q2,2023Q2,False,raw-count-rule,high,,,,"Established substance (first_seen 2012Q1, left-censored) -- the arrival rule doesn't apply since there's no arrival to find. Onset/end instead read directly off share: 1.64% (2016Q1) -> 6.56% (2016Q2), climbing essentially every quarter thereafter to a peak of 70.75% (2023Q2), then a real decline (66% -> 45-52% by 2024-2025). This is LA's defining local overdose epidemic -- included as the largest and most obvious real emergence in the dataset, not because it needed a subtle rule to find.",False
PCP,2020Q2,,True,raw-count-rule,high,,,,"Established substance, same reasoning as Fentanyl: no arrival to find, onset read off share. Share sits around 1-2% through 2019, steps up starting 2020Q2 (1.59% -> 2.28% -> 4.81%), and stays elevated (3-7%) through the most recent settled quarter with no reversal -- genuinely ongoing. Independently corroborated by docs/findings/dispersion.md: PCP is 'the best-behaved' substance in the Poisson-dispersion check, i.e. its current EB05 1.27 is earned rather than borrowed.",False
Morphine,2024Q3,2024Q3,False,manual,high,,,,"NEGATIVE CASE -- see no_emergence. Morphine's share fell from 18-27% (2014-2015) to 1-2% (2022-2025), a clean, sustained, multi-year structural decline. Its one EB05 breach (peak_eb05 1.53, 2025Q2) traces to a single-quarter raw-count blip (2024Q3=20 vs a surrounding range of 2-12) amid an otherwise low and declining series -- not a real local emergence. interval_start/interval_end above are a placeholder (the blip quarter) purely so this row parses; `score` ignores them because no_emergence=True and scores this substance against zero ground-truth-positive quarters instead.",True
Acetyl fentanyl,2022Q1,2024Q2,False,raw-count-rule,medium,,,,"Fentanyl analog (first_seen 2015Q3, sparse before 2022). Sustained rise 2022Q1 (n=10) through 2024Q2 (n=6), staying >=5 almost every quarter in between (peak 29 at 2023Q2), tapering to 2-3 by late 2024 before a late spike (2025Q1=17) that doesn't fit a single clean interval -- flagged rather than folded in silently; may be a second, distinct episode.",False
Benzylfentanyl,2024Q2,2024Q3,False,manual,low,,,,"Extremely thin: lifetime n=6 (one isolated 2022Q2=1, then 2024Q2=3, 2024Q3=2). Onset/end set at the only real cluster. Lowest-confidence positive case in the file after Ephedrine -- a couple of differently-timed deaths would materially change this.",False
Etizolam,2019Q4,2021Q4,False,raw-count-rule,high,,,,"Designer benzodiazepine, sparse before 2019. Sustained rise 2019Q4 (n=5) through 2020Q4 (n=6), staying elevated through 2021Q4 (n=4) before dropping to near-zero in 2022. Predates bromazolam as LA's designer-benzo signal -- already documented in docs/findings/trends.md's alarm-history table.",False
Flualprazolam,2020Q1,2021Q1,False,raw-count-rule,high,,,,"Designer benzodiazepine, sparse before 2020. Sustained cluster 2020Q1 (n=2) through 2021Q1 (n=6, peak), declining after. Tight match to alarm_history.csv's own first_breach/last_breach (2020Q2/2021Q1).",False
Clonazepam,2019Q3,2022Q3,False,manual,medium,,,,"Common prescription benzodiazepine, low-level presence (1-2/qtr) since 2014 -- not a clean arrival, a real step-up instead: 3 (2019Q3) -> 5 (2019Q4) -> sustained 4-11 through 2022Q1 (peak 11), declining after 2022Q3 (n=1). A later secondary bump (2024Q2=10) isn't folded into this interval -- possibly a second episode, flagged rather than merged. EB05's own alarm window (2020Q1-2020Q3) covers only the early part of this longer real rise.",False
Ketamine,2022Q3,,True,raw-count-rule,medium,,,,"Scattered singles 2013-2021, then a real step-up starting 2022Q3 (n=7) that has not reversed since (staying 3-9/quarter through 2025Q4) -- genuinely ongoing, not the short blip the naive mechanical rule (which found only 2019Q3) would have said.",False
Ephedrine,2024Q1,2024Q4,False,manual,low,,,,"Extremely thin: lifetime n=14 across the whole 14-year extract, mostly isolated n=1 quarters. The only real cluster is 2024Q1-2024Q4 (2,1,2,2). Lowest-confidence positive case in the file -- treat this one skeptically.",False
Lidocaine,2024Q4,2024Q4,False,manual,high,,,,"NEGATIVE CASE, different shape than Morphine -- the raw signal is real, not a blip: mentions rise 1,1,1,2,1,3,2,4 -> 10 (2024Q4) -> 11 (2025Q1), then fall back to 2. EB05 wasn't wrong about the data moving. `polysubstance.py`'s own analysis (see docs/findings/polysubstance.md) already establishes why it's still not a real emergence: named last on 82% of its (mostly 3+-substance) cause lines, first on 0%, 100% co-occurring with fentanyl -- the textbook inert-adulterant pattern. The correct reading of the rise is 'the fentanyl supply is being cut differently,' not 'lidocaine is killing people.' interval_start/interval_end are a placeholder (its peak alarm quarter) purely so this row parses; no_emergence=True means `score` ignores them.",True
Levamisole,2022Q1,2022Q1,False,manual,medium,,,,"NEGATIVE CASE -- same reasoning as Lidocaine, thinner data (lifetime n=12, max 4/quarter, no sustained pattern the way Lidocaine has). A known, classic inert cocaine-cutting agent (anthelmintic, no acute-overdose lethality mechanism); `polysubstance.py` gives it the same adulterant/marker verdict as Lidocaine. Lower confidence than Lidocaine because the raw signal here is thin enough that the alarm could as easily be attributed to noise as to a real compositional shift -- the verdict-based reasoning is what actually justifies this row, not the count trajectory. Placeholder interval, same as Morphine.",True
Alprazolam,2025Q1,2025Q1,False,manual,medium,,,,"NEGATIVE CASE, a third shape -- not inert (a real, dangerous benzodiazepine) and not declining (Morphine) or adulterant-patterned (Lidocaine/Levamisole), just flat. Substantial and continuously present (n=922 lifetime, 3-7% share every quarter since 2020) with no directional trend: 6.35% (2020Q1) -> dips to 1.87% (2023Q3) -> back to 7.24% (2025Q1), noise around a stable baseline. Does not breach plain EB05 at all -- only `eb05-spatial` alarms on it (see docs/findings/benchmark.md's off-target investigation), which makes this a direct test of whether that variant's E-discount over-alarms on a real but non-emergent substance. Placeholder interval, same as Morphine.",True
Codeine,2023Q4,,True,manual,medium,,,,"Reclassified from 'considered and excluded' after a closer, quarter-level (not 3-year-block) look -- the block-average read made this look like flat noise, and it isn't. Share sits low and noisy 2019-2023 (mostly 0.1-0.6%, several 0.13-0.15% quarters), then steps up and stays up from 2023Q4 (0.90%) through 2025Q4 (0.62%), consistently 0.6-1.3% -- a real, if modest, sustained elevation relative to its own prior baseline. Established substance (first_seen 2012Q1, censored), same 'read the rate off share' method as Fentanyl/PCP/Ketamine, not the arrival rule.",False
Mirtazapine,2023Q4,2023Q4,False,manual,medium,,,,"NEGATIVE CASE, Morphine-shape (single-quarter blip), not Lidocaine-shape. Extremely sparse throughout (n=40 lifetime, most quarters 0 or 1), with one standout quarter (2023Q4=5, 0.75% share) against a background of near-zero -- the same mechanism as Morphine's blip, on a different, much sparser substance. Comorbid antidepressant, not a supply-driven substance in any of this project's readings. Placeholder interval (the blip quarter), ignored by `score` per no_emergence=True.",True
